What is an Exception in Python?, c. is an error which happens at the time of execution of a program, a. is the argument passed to a function in correct positional order, b. is an argument that assumes a default value if a value is not provided in the function call for that argument, d. None of the above, e. is a powerful tool for solving repetitive problems
What is a function?, c. is a block of code that performs a specific task, a. diagram that graphically depicts the steps in a program, b. set of well-defined logical steps that must be taken to perform a task, d. operators that can be used to create complex Boolean expressions, e. is a method that helps to perform file-processing operations
Python programming language allows using one loop inside another loop known as?, b. nested, a. foreach, c. switch, d. forall, e. None of the above
If the else statement is used with a while loop the else statement is executed when the condition becomes _______., a. FALSE, b. None of the above, c. TRUE, d. Null, e. Infinite
What does map() function do?, b. executes a specified function for each item in an iterable for each item in an iterable, a. function that calls itself (with different arguments), c. apply a binary function to the items of an iterable from left to right to reduce them to a single value, d. None of the above, e. function returns an iterator where the items are filtered through a function to test if the item is accepted or not
Which of the following is not used as a loop in Python?, d. do-while loop, a. None of the above, b. while loop, c. for loop, e. nested Loop
What does a Recursive function do?, e. function that calls itself (with different arguments), a. executes a specified function for each item in an iterable for each item in an iterable, b. apply a binary function to the items of an iterable from left to right to reduce them to a single value, c. function returns an iterator where the items are filtered through a function to test if the item is accepted or not, d. None of the above
What is the output of the following code? x = 10 y = 3 result = x % y, d. 1, a. 2, b. 3.33, c. 0, e. 8
What will this code output? x = bool("False") print(x), c. True, a. error, b. none of the above, d. False, e. 0
What argument is commonly used with 'open()' function to read a CSV file in Python?, d. 'r', a. 'o', b. 'w', c. 'wb', e. 'rb'
 c. is an error which happens at the time of execution of a program, c. is a block of code that performs a specific task, b. nested, a. FALSE, b. executes a specified function for each item in an iterable for each item in an iterable, d. do-while loop, e. function that calls itself (with different arguments), d. 1, c. True, d. 'r'
